"Benchmark","Mode","Threads","Samples","Score","Score Error (99,9%)","Unit"
"com.andrae.benchmarks.BenchmarkUltraShort.testThroughput_t1","thrpt",1,4,"26,546364","22,681399","ops/ms"
"com.andrae.benchmarks.BenchmarkUltraShort.testThroughput_t128","thrpt",128,4,"22,712357","18,937374","ops/ms"
"com.andrae.benchmarks.BenchmarkUltraShort.testThroughput_t16","thrpt",16,4,"23,195794","15,581199","ops/ms"
"com.andrae.benchmarks.BenchmarkUltraShort.testThroughput_t2","thrpt",2,4,"23,180488","5,532671","ops/ms"
"com.andrae.benchmarks.BenchmarkUltraShort.testThroughput_t32","thrpt",32,4,"22,770348","14,925274","ops/ms"
"com.andrae.benchmarks.BenchmarkUltraShort.testThroughput_t4","thrpt",4,4,"23,494941","15,499176","ops/ms"
"com.andrae.benchmarks.BenchmarkUltraShort.testThroughput_t64","thrpt",64,4,"22,207318","13,210676","ops/ms"
"com.andrae.benchmarks.BenchmarkUltraShort.testThroughput_t8","thrpt",8,4,"23,962578","9,458433","ops/ms"
"com.andrae.benchmarks.BenchmarkUltraShort.testSingleShotTime_t1","ss",1,4,"2,291927","16,976901","ms/op"
"com.andrae.benchmarks.BenchmarkUltraShort.testSingleShotTime_t128","ss",128,4,"3,184636","23,698889","ms/op"
"com.andrae.benchmarks.BenchmarkUltraShort.testSingleShotTime_t16","ss",16,4,"2,252080","16,457019","ms/op"
"com.andrae.benchmarks.BenchmarkUltraShort.testSingleShotTime_t2","ss",2,4,"2,033979","14,615973","ms/op"
"com.andrae.benchmarks.BenchmarkUltraShort.testSingleShotTime_t32","ss",32,4,"2,182960","15,912452","ms/op"
"com.andrae.benchmarks.BenchmarkUltraShort.testSingleShotTime_t4","ss",4,4,"2,026016","14,735663","ms/op"
"com.andrae.benchmarks.BenchmarkUltraShort.testSingleShotTime_t64","ss",64,4,"2,101514","15,453274","ms/op"
"com.andrae.benchmarks.BenchmarkUltraShort.testSingleShotTime_t8","ss",8,4,"2,062557","15,063809","ms/op"
