"Benchmark","Mode","Threads","Samples","Score","Score Error (99,9%)","Unit"
"com.andrae.benchmarks.BenchmarkUltraShort.testThroughput_t1","thrpt",1,4,"27,342603","14,113110","ops/ms"
"com.andrae.benchmarks.BenchmarkUltraShort.testThroughput_t128","thrpt",128,4,"23,867748","12,341520","ops/ms"
"com.andrae.benchmarks.BenchmarkUltraShort.testThroughput_t16","thrpt",16,4,"25,207283","9,259281","ops/ms"
"com.andrae.benchmarks.BenchmarkUltraShort.testThroughput_t2","thrpt",2,4,"26,446581","12,325937","ops/ms"
"com.andrae.benchmarks.BenchmarkUltraShort.testThroughput_t32","thrpt",32,4,"25,082462","16,612171","ops/ms"
"com.andrae.benchmarks.BenchmarkUltraShort.testThroughput_t4","thrpt",4,4,"26,311638","15,426351","ops/ms"
"com.andrae.benchmarks.BenchmarkUltraShort.testThroughput_t64","thrpt",64,4,"23,807397","9,751534","ops/ms"
"com.andrae.benchmarks.BenchmarkUltraShort.testThroughput_t8","thrpt",8,4,"25,620384","9,990473","ops/ms"
"com.andrae.benchmarks.BenchmarkUltraShort.testSingleShotTime_t1","ss",1,4,"2,236823","16,368033","ms/op"
"com.andrae.benchmarks.BenchmarkUltraShort.testSingleShotTime_t128","ss",128,4,"3,355316","24,855491","ms/op"
"com.andrae.benchmarks.BenchmarkUltraShort.testSingleShotTime_t16","ss",16,4,"2,161255","15,888880","ms/op"
"com.andrae.benchmarks.BenchmarkUltraShort.testSingleShotTime_t2","ss",2,4,"1,960261","14,219298","ms/op"
"com.andrae.benchmarks.BenchmarkUltraShort.testSingleShotTime_t32","ss",32,4,"2,205998","16,166235","ms/op"
"com.andrae.benchmarks.BenchmarkUltraShort.testSingleShotTime_t4","ss",4,4,"2,040326","14,581852","ms/op"
"com.andrae.benchmarks.BenchmarkUltraShort.testSingleShotTime_t64","ss",64,4,"2,691143","19,818894","ms/op"
"com.andrae.benchmarks.BenchmarkUltraShort.testSingleShotTime_t8","ss",8,4,"2,269316","16,812335","ms/op"
