"Benchmark","Mode","Threads","Samples","Score","Score Error (99,9%)","Unit"
"com.andrae.benchmarks.BenchmarkUltraShort.testThroughput_t1","thrpt",1,4,"3246,881798","1594,965374","ops/ms"
"com.andrae.benchmarks.BenchmarkUltraShort.testThroughput_t128","thrpt",128,4,"3699,614773","2489,968868","ops/ms"
"com.andrae.benchmarks.BenchmarkUltraShort.testThroughput_t16","thrpt",16,4,"4009,424464","1033,171120","ops/ms"
"com.andrae.benchmarks.BenchmarkUltraShort.testThroughput_t2","thrpt",2,4,"5599,988565","1669,828438","ops/ms"
"com.andrae.benchmarks.BenchmarkUltraShort.testThroughput_t32","thrpt",32,4,"3980,398508","999,078694","ops/ms"
"com.andrae.benchmarks.BenchmarkUltraShort.testThroughput_t4","thrpt",4,4,"3997,677232","1077,677520","ops/ms"
"com.andrae.benchmarks.BenchmarkUltraShort.testThroughput_t64","thrpt",64,4,"3933,841442","796,449232","ops/ms"
"com.andrae.benchmarks.BenchmarkUltraShort.testThroughput_t8","thrpt",8,4,"4006,388905","963,563902","ops/ms"
"com.andrae.benchmarks.BenchmarkUltraShort.testSingleShotTime_t1","ss",1,4,"2,190917","16,281408","ms/op"
"com.andrae.benchmarks.BenchmarkUltraShort.testSingleShotTime_t128","ss",128,4,"2,111738","16,035938","ms/op"
"com.andrae.benchmarks.BenchmarkUltraShort.testSingleShotTime_t16","ss",16,4,"1,979488","14,578534","ms/op"
"com.andrae.benchmarks.BenchmarkUltraShort.testSingleShotTime_t2","ss",2,4,"1,930547","14,125918","ms/op"
"com.andrae.benchmarks.BenchmarkUltraShort.testSingleShotTime_t32","ss",32,4,"2,169971","16,207875","ms/op"
"com.andrae.benchmarks.BenchmarkUltraShort.testSingleShotTime_t4","ss",4,4,"1,911349","13,970612","ms/op"
"com.andrae.benchmarks.BenchmarkUltraShort.testSingleShotTime_t64","ss",64,4,"2,176193","16,128784","ms/op"
"com.andrae.benchmarks.BenchmarkUltraShort.testSingleShotTime_t8","ss",8,4,"2,074229","14,825686","ms/op"
