"Benchmark","Mode","Threads","Samples","Score","Score Error (99,9%)","Unit"
"com.andrae.benchmarks.BenchmarkUltraShort.testThroughput_t1","thrpt",1,4,"28,496405","13,513401","ops/ms"
"com.andrae.benchmarks.BenchmarkUltraShort.testThroughput_t128","thrpt",128,4,"24,398427","13,396908","ops/ms"
"com.andrae.benchmarks.BenchmarkUltraShort.testThroughput_t16","thrpt",16,4,"25,562806","16,730537","ops/ms"
"com.andrae.benchmarks.BenchmarkUltraShort.testThroughput_t2","thrpt",2,4,"27,041333","14,066508","ops/ms"
"com.andrae.benchmarks.BenchmarkUltraShort.testThroughput_t32","thrpt",32,4,"24,353292","19,026186","ops/ms"
"com.andrae.benchmarks.BenchmarkUltraShort.testThroughput_t4","thrpt",4,4,"23,071776","20,535929","ops/ms"
"com.andrae.benchmarks.BenchmarkUltraShort.testThroughput_t64","thrpt",64,4,"22,517233","12,112374","ops/ms"
"com.andrae.benchmarks.BenchmarkUltraShort.testThroughput_t8","thrpt",8,4,"24,416859","10,267119","ops/ms"
"com.andrae.benchmarks.BenchmarkUltraShort.testSingleShotTime_t1","ss",1,4,"2,107854","15,306098","ms/op"
"com.andrae.benchmarks.BenchmarkUltraShort.testSingleShotTime_t128","ss",128,4,"2,892243","21,522123","ms/op"
"com.andrae.benchmarks.BenchmarkUltraShort.testSingleShotTime_t16","ss",16,4,"2,160974","15,800923","ms/op"
"com.andrae.benchmarks.BenchmarkUltraShort.testSingleShotTime_t2","ss",2,4,"2,322135","17,019159","ms/op"
"com.andrae.benchmarks.BenchmarkUltraShort.testSingleShotTime_t32","ss",32,4,"2,159086","15,906928","ms/op"
"com.andrae.benchmarks.BenchmarkUltraShort.testSingleShotTime_t4","ss",4,4,"2,598307","19,707311","ms/op"
"com.andrae.benchmarks.BenchmarkUltraShort.testSingleShotTime_t64","ss",64,4,"2,282251","16,850830","ms/op"
"com.andrae.benchmarks.BenchmarkUltraShort.testSingleShotTime_t8","ss",8,4,"2,186001","15,811333","ms/op"
