"Benchmark","Mode","Threads","Samples","Score","Score Error (99,9%)","Unit"
"com.andrae.benchmarks.BenchmarkShort.testThroughput_t1","thrpt",1,6,"6443857,139470","1353633,371417","ops/s"
"com.andrae.benchmarks.BenchmarkShort.testThroughput_t128","thrpt",128,6,"6699018,799601","1633647,755363","ops/s"
"com.andrae.benchmarks.BenchmarkShort.testThroughput_t16","thrpt",16,6,"6884280,834162","2014402,857560","ops/s"
"com.andrae.benchmarks.BenchmarkShort.testThroughput_t2","thrpt",2,6,"8415404,334860","2231361,133003","ops/s"
"com.andrae.benchmarks.BenchmarkShort.testThroughput_t32","thrpt",32,6,"6453605,634800","1031803,789598","ops/s"
"com.andrae.benchmarks.BenchmarkShort.testThroughput_t4","thrpt",4,6,"6997937,676841","1178866,902887","ops/s"
"com.andrae.benchmarks.BenchmarkShort.testThroughput_t64","thrpt",64,6,"6678514,783972","1961680,308263","ops/s"
"com.andrae.benchmarks.BenchmarkShort.testThroughput_t8","thrpt",8,6,"6619238,013931","556456,604239","ops/s"
"com.andrae.benchmarks.BenchmarkShort.testSingleShotTime_t1","ss",1,6,"0,000443","0,001658","s/op"
"com.andrae.benchmarks.BenchmarkShort.testSingleShotTime_t128","ss",128,6,"0,000233","0,000784","s/op"
"com.andrae.benchmarks.BenchmarkShort.testSingleShotTime_t16","ss",16,6,"0,000544","0,002050","s/op"
"com.andrae.benchmarks.BenchmarkShort.testSingleShotTime_t2","ss",2,6,"0,000437","0,001577","s/op"
"com.andrae.benchmarks.BenchmarkShort.testSingleShotTime_t32","ss",32,6,"0,000590","0,002292","s/op"
"com.andrae.benchmarks.BenchmarkShort.testSingleShotTime_t4","ss",4,6,"0,000461","0,001703","s/op"
"com.andrae.benchmarks.BenchmarkShort.testSingleShotTime_t64","ss",64,6,"0,000729","0,002827","s/op"
"com.andrae.benchmarks.BenchmarkShort.testSingleShotTime_t8","ss",8,6,"0,000544","0,001975","s/op"
