"Benchmark","Mode","Threads","Samples","Score","Score Error (99,9%)","Unit"
"com.andrae.benchmarks.BenchmarkShort.testThroughput_t1","thrpt",1,6,"9928071,851455","216269,938750","ops/s"
"com.andrae.benchmarks.BenchmarkShort.testThroughput_t128","thrpt",128,6,"28233135,705441","8761344,899863","ops/s"
"com.andrae.benchmarks.BenchmarkShort.testThroughput_t16","thrpt",16,6,"29763666,130927","8169744,462235","ops/s"
"com.andrae.benchmarks.BenchmarkShort.testThroughput_t2","thrpt",2,6,"18418943,762866","2966120,800748","ops/s"
"com.andrae.benchmarks.BenchmarkShort.testThroughput_t32","thrpt",32,6,"30629919,698964","2290136,582425","ops/s"
"com.andrae.benchmarks.BenchmarkShort.testThroughput_t4","thrpt",4,6,"34459032,498901","821475,775633","ops/s"
"com.andrae.benchmarks.BenchmarkShort.testThroughput_t64","thrpt",64,6,"28806832,842447","4702428,612400","ops/s"
"com.andrae.benchmarks.BenchmarkShort.testThroughput_t8","thrpt",8,6,"32047788,309180","8811622,321836","ops/s"
"com.andrae.benchmarks.BenchmarkShort.testSingleShotTime_t1","ss",1,6,"0,000201","0,000805","s/op"
"com.andrae.benchmarks.BenchmarkShort.testSingleShotTime_t128","ss",128,6,"0,000063","0,000268","s/op"
"com.andrae.benchmarks.BenchmarkShort.testSingleShotTime_t16","ss",16,6,"0,000224","0,000946","s/op"
"com.andrae.benchmarks.BenchmarkShort.testSingleShotTime_t2","ss",2,6,"0,000195","0,000733","s/op"
"com.andrae.benchmarks.BenchmarkShort.testSingleShotTime_t32","ss",32,6,"0,000271","0,001297","s/op"
"com.andrae.benchmarks.BenchmarkShort.testSingleShotTime_t4","ss",4,6,"0,000179","0,000715","s/op"
"com.andrae.benchmarks.BenchmarkShort.testSingleShotTime_t64","ss",64,6,"0,000072","0,000279","s/op"
"com.andrae.benchmarks.BenchmarkShort.testSingleShotTime_t8","ss",8,6,"0,000214","0,000892","s/op"
