"Benchmark","Mode","Threads","Samples","Score","Score Error (99,9%)","Unit"
"com.andrae.benchmarks.BenchmarkShort.testThroughput_t1","thrpt",1,6,"27757,056531","3371,673481","ops/s"
"com.andrae.benchmarks.BenchmarkShort.testThroughput_t128","thrpt",128,6,"27352,468650","1768,513280","ops/s"
"com.andrae.benchmarks.BenchmarkShort.testThroughput_t16","thrpt",16,6,"27639,873278","2258,773656","ops/s"
"com.andrae.benchmarks.BenchmarkShort.testThroughput_t2","thrpt",2,6,"27482,439285","3886,647819","ops/s"
"com.andrae.benchmarks.BenchmarkShort.testThroughput_t32","thrpt",32,6,"25873,984460","1412,857111","ops/s"
"com.andrae.benchmarks.BenchmarkShort.testThroughput_t4","thrpt",4,6,"26864,240755","2093,491410","ops/s"
"com.andrae.benchmarks.BenchmarkShort.testThroughput_t64","thrpt",64,6,"26212,260253","2250,050084","ops/s"
"com.andrae.benchmarks.BenchmarkShort.testThroughput_t8","thrpt",8,6,"26309,336008","2978,153412","ops/s"
"com.andrae.benchmarks.BenchmarkShort.testSingleShotTime_t1","ss",1,6,"0,000420","0,001306","s/op"
"com.andrae.benchmarks.BenchmarkShort.testSingleShotTime_t128","ss",128,6,"0,002377","0,004330","s/op"
"com.andrae.benchmarks.BenchmarkShort.testSingleShotTime_t16","ss",16,6,"0,000722","0,001881","s/op"
"com.andrae.benchmarks.BenchmarkShort.testSingleShotTime_t2","ss",2,6,"0,000481","0,001482","s/op"
"com.andrae.benchmarks.BenchmarkShort.testSingleShotTime_t32","ss",32,6,"0,001095","0,002330","s/op"
"com.andrae.benchmarks.BenchmarkShort.testSingleShotTime_t4","ss",4,6,"0,000485","0,001534","s/op"
"com.andrae.benchmarks.BenchmarkShort.testSingleShotTime_t64","ss",64,6,"0,001838","0,004459","s/op"
"com.andrae.benchmarks.BenchmarkShort.testSingleShotTime_t8","ss",8,6,"0,000788","0,002168","s/op"
