"Benchmark","Mode","Threads","Samples","Score","Score Error (99,9%)","Unit","Param: size","Param: withTLS"
"org.dcache.oncrpc4j.benchmarks.RpcPing.rpcPingSingle_t001","thrpt",1,4,"16042,788892","39002,722972","ops/s",,
"org.dcache.oncrpc4j.benchmarks.RpcPing.rpcPingSingle_t002","thrpt",2,4,"23409,600942","37732,009750","ops/s",,
"org.dcache.oncrpc4j.benchmarks.RpcPing.rpcPingSingle_t004","thrpt",4,4,"38924,844810","75455,360247","ops/s",,
"org.dcache.oncrpc4j.benchmarks.RpcPing.rpcPingSingle_t008","thrpt",8,4,"48249,271518","70798,635631","ops/s",,
"org.dcache.oncrpc4j.benchmarks.RpcPing.rpcPingSingle_t016","thrpt",16,4,"55023,240110","91546,963435","ops/s",,
"org.dcache.oncrpc4j.benchmarks.RpcPing.rpcPingSingle_t032","thrpt",32,4,"65731,154525","153211,679777","ops/s",,
"org.dcache.oncrpc4j.benchmarks.RpcPing.rpcPingSingle_t064","thrpt",64,4,"65553,983368","163301,855208","ops/s",,
"org.dcache.oncrpc4j.benchmarks.RpcPing.rpcPingSingle_t128","thrpt",128,4,"69335,727222","201550,067751","ops/s",,
"org.dcache.oncrpc4j.benchmarks.TlsOverhead.callOpNull_t001","thrpt",1,4,"17521,504929","25933,902700","ops/s",,true
"org.dcache.oncrpc4j.benchmarks.TlsOverhead.callOpNull_t001","thrpt",1,4,"15955,532756","28401,599077","ops/s",,false
"org.dcache.oncrpc4j.benchmarks.TlsOverhead.callOpNull_t002","thrpt",2,4,"23013,177033","36627,334929","ops/s",,true
"org.dcache.oncrpc4j.benchmarks.TlsOverhead.callOpNull_t002","thrpt",2,4,"22916,306488","30802,865090","ops/s",,false
"org.dcache.oncrpc4j.benchmarks.TlsOverhead.callOpNull_t004","thrpt",4,4,"40318,724226","22927,862968","ops/s",,true
"org.dcache.oncrpc4j.benchmarks.TlsOverhead.callOpNull_t004","thrpt",4,4,"46797,049460","57477,333427","ops/s",,false
"org.dcache.oncrpc4j.benchmarks.TlsOverhead.callOpNull_t008","thrpt",8,4,"62734,428737","70514,926144","ops/s",,true
"org.dcache.oncrpc4j.benchmarks.TlsOverhead.callOpNull_t008","thrpt",8,4,"61487,049090","61429,128118","ops/s",,false
"org.dcache.oncrpc4j.benchmarks.TlsOverhead.callOpNull_t016","thrpt",16,4,"64505,739565","108095,905624","ops/s",,true
"org.dcache.oncrpc4j.benchmarks.TlsOverhead.callOpNull_t016","thrpt",16,4,"59183,627450","60724,538144","ops/s",,false
"org.dcache.oncrpc4j.benchmarks.TlsOverhead.callOpNull_t032","thrpt",32,4,"58059,125451","74165,994673","ops/s",,true
"org.dcache.oncrpc4j.benchmarks.TlsOverhead.callOpNull_t032","thrpt",32,4,"59003,403005","53438,989942","ops/s",,false
"org.dcache.oncrpc4j.benchmarks.TlsOverhead.callOpNull_t064","thrpt",64,4,"52232,928841","17216,530297","ops/s",,true
"org.dcache.oncrpc4j.benchmarks.TlsOverhead.callOpNull_t064","thrpt",64,4,"61472,461916","110903,318992","ops/s",,false
"org.dcache.oncrpc4j.benchmarks.TlsOverhead.callOpNull_t128","thrpt",128,4,"72011,119532","272607,245909","ops/s",,true
"org.dcache.oncrpc4j.benchmarks.TlsOverhead.callOpNull_t128","thrpt",128,4,"49465,541989","77995,320932","ops/s",,false
"org.dcache.oncrpc4j.benchmarks.XdrBenchmark.encodeByteBufferShallow_t001","thrpt",1,4,"18785723,741543","4956932,416120","ops/s",1024,
"org.dcache.oncrpc4j.benchmarks.XdrBenchmark.encodeByteBufferShallow_t001","thrpt",1,4,"18457321,068139","1510010,717902","ops/s",8192,
"org.dcache.oncrpc4j.benchmarks.XdrBenchmark.encodeByteBufferShallow_t001","thrpt",1,4,"18630453,968057","1900375,121840","ops/s",262144,
"org.dcache.oncrpc4j.benchmarks.XdrBenchmark.encodeByteBufferShallow_t001","thrpt",1,4,"18443827,736786","1698561,929332","ops/s",1048576,
"org.dcache.oncrpc4j.benchmarks.XdrBenchmark.encodeByteBuffer_t001","thrpt",1,4,"40552418,347314","2029826,772702","ops/s",1024,
"org.dcache.oncrpc4j.benchmarks.XdrBenchmark.encodeByteBuffer_t001","thrpt",1,4,"5662860,672258","102669,954803","ops/s",8192,
"org.dcache.oncrpc4j.benchmarks.XdrBenchmark.encodeByteBuffer_t001","thrpt",1,4,"206232,300409","16820,983031","ops/s",262144,
"org.dcache.oncrpc4j.benchmarks.XdrBenchmark.encodeByteBuffer_t001","thrpt",1,4,"48992,025249","27538,394533","ops/s",1048576,
"org.dcache.oncrpc4j.benchmarks.XdrBenchmark.encodeByteBuffer_t002","thrpt",2,4,"78256,647746","8580,917449","ops/s",1048576,
