"Benchmark","Mode","Threads","Samples","Score","Score Error (99,9%)","Unit","Param: size","Param: withTLS"
"org.dcache.oncrpc4j.benchmarks.RpcPing.rpcPingSingle_t001","thrpt",1,4,"21673,885920","21399,812178","ops/s",,
"org.dcache.oncrpc4j.benchmarks.RpcPing.rpcPingSingle_t002","thrpt",2,4,"41564,873196","61654,316071","ops/s",,
"org.dcache.oncrpc4j.benchmarks.RpcPing.rpcPingSingle_t004","thrpt",4,4,"64543,883082","130482,259970","ops/s",,
"org.dcache.oncrpc4j.benchmarks.RpcPing.rpcPingSingle_t008","thrpt",8,4,"88442,972056","205494,501418","ops/s",,
"org.dcache.oncrpc4j.benchmarks.RpcPing.rpcPingSingle_t016","thrpt",16,4,"99092,866112","223775,585814","ops/s",,
"org.dcache.oncrpc4j.benchmarks.RpcPing.rpcPingSingle_t032","thrpt",32,4,"122233,668151","297682,603154","ops/s",,
"org.dcache.oncrpc4j.benchmarks.RpcPing.rpcPingSingle_t064","thrpt",64,4,"123237,628695","256505,471981","ops/s",,
"org.dcache.oncrpc4j.benchmarks.RpcPing.rpcPingSingle_t128","thrpt",128,4,"106839,629204","218220,410325","ops/s",,
"org.dcache.oncrpc4j.benchmarks.TlsOverhead.callOpNull_t001","thrpt",1,4,"23164,181177","27870,464741","ops/s",,true
"org.dcache.oncrpc4j.benchmarks.TlsOverhead.callOpNull_t001","thrpt",1,4,"23227,307292","26776,883976","ops/s",,false
"org.dcache.oncrpc4j.benchmarks.TlsOverhead.callOpNull_t002","thrpt",2,4,"48707,913889","49506,908376","ops/s",,true
"org.dcache.oncrpc4j.benchmarks.TlsOverhead.callOpNull_t002","thrpt",2,4,"48592,181489","51423,613537","ops/s",,false
"org.dcache.oncrpc4j.benchmarks.TlsOverhead.callOpNull_t004","thrpt",4,4,"60186,474787","96575,356562","ops/s",,true
"org.dcache.oncrpc4j.benchmarks.TlsOverhead.callOpNull_t004","thrpt",4,4,"58868,518549","97228,828864","ops/s",,false
"org.dcache.oncrpc4j.benchmarks.TlsOverhead.callOpNull_t008","thrpt",8,4,"62917,483996","82360,580024","ops/s",,true
"org.dcache.oncrpc4j.benchmarks.TlsOverhead.callOpNull_t008","thrpt",8,4,"68841,679899","90107,837756","ops/s",,false
"org.dcache.oncrpc4j.benchmarks.TlsOverhead.callOpNull_t016","thrpt",16,4,"64779,638651","134496,905507","ops/s",,true
"org.dcache.oncrpc4j.benchmarks.TlsOverhead.callOpNull_t016","thrpt",16,4,"64038,710292","101778,880200","ops/s",,false
"org.dcache.oncrpc4j.benchmarks.TlsOverhead.callOpNull_t032","thrpt",32,4,"61912,559880","84155,545483","ops/s",,true
"org.dcache.oncrpc4j.benchmarks.TlsOverhead.callOpNull_t032","thrpt",32,4,"66128,250252","125988,423333","ops/s",,false
"org.dcache.oncrpc4j.benchmarks.TlsOverhead.callOpNull_t064","thrpt",64,4,"54935,506446","110635,250128","ops/s",,true
"org.dcache.oncrpc4j.benchmarks.TlsOverhead.callOpNull_t064","thrpt",64,4,"51691,863257","76281,412829","ops/s",,false
"org.dcache.oncrpc4j.benchmarks.TlsOverhead.callOpNull_t128","thrpt",128,4,"55915,333904","51457,695506","ops/s",,true
"org.dcache.oncrpc4j.benchmarks.TlsOverhead.callOpNull_t128","thrpt",128,4,"74944,349629","328781,167130","ops/s",,false
"org.dcache.oncrpc4j.benchmarks.XdrBenchmark.encodeByteBufferShallow_t001","thrpt",1,4,"18463171,124228","2117075,547236","ops/s",1024,
"org.dcache.oncrpc4j.benchmarks.XdrBenchmark.encodeByteBufferShallow_t001","thrpt",1,4,"18225414,111646","781965,879239","ops/s",8192,
"org.dcache.oncrpc4j.benchmarks.XdrBenchmark.encodeByteBufferShallow_t001","thrpt",1,4,"18516168,537382","2149321,326919","ops/s",262144,
"org.dcache.oncrpc4j.benchmarks.XdrBenchmark.encodeByteBufferShallow_t001","thrpt",1,4,"18459281,598891","2721768,019403","ops/s",1048576,
"org.dcache.oncrpc4j.benchmarks.XdrBenchmark.encodeByteBuffer_t001","thrpt",1,4,"40358275,431789","2215528,474344","ops/s",1024,
"org.dcache.oncrpc4j.benchmarks.XdrBenchmark.encodeByteBuffer_t001","thrpt",1,4,"5524250,421875","560795,718049","ops/s",8192,
"org.dcache.oncrpc4j.benchmarks.XdrBenchmark.encodeByteBuffer_t001","thrpt",1,4,"205805,730198","18860,619807","ops/s",262144,
"org.dcache.oncrpc4j.benchmarks.XdrBenchmark.encodeByteBuffer_t001","thrpt",1,4,"48549,603738","24555,178209","ops/s",1048576,
"org.dcache.oncrpc4j.benchmarks.XdrBenchmark.encodeByteBuffer_t002","thrpt",2,2,"80625,250544",NaN,"ops/s",1048576,
