"Benchmark","Mode","Threads","Samples","Score","Score Error (99,9%)","Unit","Param: size","Param: withTLS"
"org.dcache.oncrpc4j.benchmarks.RpcPing.rpcPingSingle_t001","thrpt",1,4,"22970,761936","39600,948728","ops/s",,
"org.dcache.oncrpc4j.benchmarks.RpcPing.rpcPingSingle_t002","thrpt",2,4,"30363,997234","57099,944314","ops/s",,
"org.dcache.oncrpc4j.benchmarks.RpcPing.rpcPingSingle_t004","thrpt",4,4,"47293,232300","81343,011918","ops/s",,
"org.dcache.oncrpc4j.benchmarks.RpcPing.rpcPingSingle_t008","thrpt",8,4,"59137,582848","110113,048987","ops/s",,
"org.dcache.oncrpc4j.benchmarks.RpcPing.rpcPingSingle_t016","thrpt",16,4,"68946,836638","111294,716994","ops/s",,
"org.dcache.oncrpc4j.benchmarks.RpcPing.rpcPingSingle_t032","thrpt",32,4,"69903,781544","129306,956769","ops/s",,
"org.dcache.oncrpc4j.benchmarks.RpcPing.rpcPingSingle_t064","thrpt",64,4,"69633,102629","151033,490034","ops/s",,
"org.dcache.oncrpc4j.benchmarks.RpcPing.rpcPingSingle_t128","thrpt",128,4,"69104,018555","140507,627958","ops/s",,
"org.dcache.oncrpc4j.benchmarks.TlsOverhead.callOpNull_t001","thrpt",1,4,"22174,890531","21284,997962","ops/s",,true
"org.dcache.oncrpc4j.benchmarks.TlsOverhead.callOpNull_t001","thrpt",1,4,"22860,515857","33722,250338","ops/s",,false
"org.dcache.oncrpc4j.benchmarks.TlsOverhead.callOpNull_t002","thrpt",2,4,"33646,026434","43286,713125","ops/s",,true
"org.dcache.oncrpc4j.benchmarks.TlsOverhead.callOpNull_t002","thrpt",2,4,"33161,903992","53687,109998","ops/s",,false
"org.dcache.oncrpc4j.benchmarks.TlsOverhead.callOpNull_t004","thrpt",4,4,"47911,063303","48937,850267","ops/s",,true
"org.dcache.oncrpc4j.benchmarks.TlsOverhead.callOpNull_t004","thrpt",4,4,"52555,786787","78169,967860","ops/s",,false
"org.dcache.oncrpc4j.benchmarks.TlsOverhead.callOpNull_t008","thrpt",8,4,"61470,928912","97867,628921","ops/s",,true
"org.dcache.oncrpc4j.benchmarks.TlsOverhead.callOpNull_t008","thrpt",8,4,"56693,652615","76310,097434","ops/s",,false
"org.dcache.oncrpc4j.benchmarks.TlsOverhead.callOpNull_t016","thrpt",16,4,"54854,174308","70857,905605","ops/s",,true
"org.dcache.oncrpc4j.benchmarks.TlsOverhead.callOpNull_t016","thrpt",16,4,"60151,428781","95189,057271","ops/s",,false
"org.dcache.oncrpc4j.benchmarks.TlsOverhead.callOpNull_t032","thrpt",32,4,"52481,675404","111131,825398","ops/s",,true
"org.dcache.oncrpc4j.benchmarks.TlsOverhead.callOpNull_t032","thrpt",32,4,"50417,705130","91710,892260","ops/s",,false
"org.dcache.oncrpc4j.benchmarks.TlsOverhead.callOpNull_t064","thrpt",64,4,"48768,246359","33221,913912","ops/s",,true
"org.dcache.oncrpc4j.benchmarks.TlsOverhead.callOpNull_t064","thrpt",64,4,"50613,608467","47518,865364","ops/s",,false
"org.dcache.oncrpc4j.benchmarks.TlsOverhead.callOpNull_t128","thrpt",128,4,"36813,287058","89958,508457","ops/s",,true
"org.dcache.oncrpc4j.benchmarks.TlsOverhead.callOpNull_t128","thrpt",128,4,"51136,414342","56250,772176","ops/s",,false
"org.dcache.oncrpc4j.benchmarks.XdrBenchmark.encodeByteBufferShallow_t001","thrpt",1,4,"17842537,822257","4784028,445031","ops/s",1024,
"org.dcache.oncrpc4j.benchmarks.XdrBenchmark.encodeByteBufferShallow_t001","thrpt",1,4,"17717625,790256","3695609,834816","ops/s",8192,
"org.dcache.oncrpc4j.benchmarks.XdrBenchmark.encodeByteBufferShallow_t001","thrpt",1,4,"18052537,985949","3173322,157283","ops/s",262144,
"org.dcache.oncrpc4j.benchmarks.XdrBenchmark.encodeByteBufferShallow_t001","thrpt",1,4,"17900828,228245","3459015,159374","ops/s",1048576,
"org.dcache.oncrpc4j.benchmarks.XdrBenchmark.encodeByteBuffer_t001","thrpt",1,4,"28743432,422780","1695678,214199","ops/s",1024,
"org.dcache.oncrpc4j.benchmarks.XdrBenchmark.encodeByteBuffer_t001","thrpt",1,4,"6325810,522842","61736,712477","ops/s",8192,
"org.dcache.oncrpc4j.benchmarks.XdrBenchmark.encodeByteBuffer_t001","thrpt",1,4,"199032,477340","40697,336583","ops/s",262144,
"org.dcache.oncrpc4j.benchmarks.XdrBenchmark.encodeByteBuffer_t001","thrpt",1,4,"49398,343488","22473,960037","ops/s",1048576,
