"Benchmark","Mode","Threads","Samples","Score","Score Error (99,9%)","Unit","Param: size","Param: withTLS"
"org.dcache.oncrpc4j.benchmarks.RpcPing.rpcPingSingle_t001","thrpt",1,4,"35591,852657","56952,191109","ops/s",,
"org.dcache.oncrpc4j.benchmarks.RpcPing.rpcPingSingle_t002","thrpt",2,4,"58260,144977","30035,600964","ops/s",,
"org.dcache.oncrpc4j.benchmarks.RpcPing.rpcPingSingle_t004","thrpt",4,4,"96138,085819","46240,837688","ops/s",,
"org.dcache.oncrpc4j.benchmarks.RpcPing.rpcPingSingle_t008","thrpt",8,4,"138212,945074","110384,619805","ops/s",,
"org.dcache.oncrpc4j.benchmarks.RpcPing.rpcPingSingle_t016","thrpt",16,4,"167093,611921","178926,560663","ops/s",,
"org.dcache.oncrpc4j.benchmarks.RpcPing.rpcPingSingle_t032","thrpt",32,4,"188630,145225","244086,626641","ops/s",,
"org.dcache.oncrpc4j.benchmarks.RpcPing.rpcPingSingle_t064","thrpt",64,4,"191262,309728","193137,030602","ops/s",,
"org.dcache.oncrpc4j.benchmarks.RpcPing.rpcPingSingle_t128","thrpt",128,4,"199975,702019","165024,392870","ops/s",,
"org.dcache.oncrpc4j.benchmarks.TlsOverhead.callOpNull_t001","thrpt",1,4,"34922,600919","31237,459356","ops/s",,true
"org.dcache.oncrpc4j.benchmarks.TlsOverhead.callOpNull_t001","thrpt",1,4,"35712,497678","29896,274241","ops/s",,false
"org.dcache.oncrpc4j.benchmarks.TlsOverhead.callOpNull_t002","thrpt",2,4,"62008,549683","39331,175047","ops/s",,true
"org.dcache.oncrpc4j.benchmarks.TlsOverhead.callOpNull_t002","thrpt",2,4,"61909,567130","41684,268243","ops/s",,false
"org.dcache.oncrpc4j.benchmarks.TlsOverhead.callOpNull_t004","thrpt",4,4,"94113,031154","99441,929033","ops/s",,true
"org.dcache.oncrpc4j.benchmarks.TlsOverhead.callOpNull_t004","thrpt",4,4,"93810,822609","90534,067253","ops/s",,false
"org.dcache.oncrpc4j.benchmarks.TlsOverhead.callOpNull_t008","thrpt",8,4,"74002,232188","81858,775134","ops/s",,true
"org.dcache.oncrpc4j.benchmarks.TlsOverhead.callOpNull_t008","thrpt",8,4,"75141,310912","89089,332532","ops/s",,false
"org.dcache.oncrpc4j.benchmarks.TlsOverhead.callOpNull_t016","thrpt",16,4,"73571,314483","70745,743632","ops/s",,true
"org.dcache.oncrpc4j.benchmarks.TlsOverhead.callOpNull_t016","thrpt",16,4,"72804,921911","81660,008772","ops/s",,false
"org.dcache.oncrpc4j.benchmarks.TlsOverhead.callOpNull_t032","thrpt",32,4,"66800,926430","115774,380431","ops/s",,true
"org.dcache.oncrpc4j.benchmarks.TlsOverhead.callOpNull_t032","thrpt",32,4,"60816,144435","44093,916050","ops/s",,false
"org.dcache.oncrpc4j.benchmarks.TlsOverhead.callOpNull_t064","thrpt",64,4,"57502,742045","76315,950004","ops/s",,true
"org.dcache.oncrpc4j.benchmarks.TlsOverhead.callOpNull_t064","thrpt",64,4,"62155,841061","78871,887662","ops/s",,false
"org.dcache.oncrpc4j.benchmarks.TlsOverhead.callOpNull_t128","thrpt",128,4,"49588,027358","116352,037133","ops/s",,true
"org.dcache.oncrpc4j.benchmarks.TlsOverhead.callOpNull_t128","thrpt",128,4,"47396,247650","126897,328292","ops/s",,false
"org.dcache.oncrpc4j.benchmarks.XdrBenchmark.encodeByteBufferShallow_t001","thrpt",1,4,"17811195,627338","4340246,640178","ops/s",1024,
"org.dcache.oncrpc4j.benchmarks.XdrBenchmark.encodeByteBufferShallow_t001","thrpt",1,4,"17995515,375081","3635150,274967","ops/s",8192,
"org.dcache.oncrpc4j.benchmarks.XdrBenchmark.encodeByteBufferShallow_t001","thrpt",1,4,"17836237,748323","4896630,491190","ops/s",262144,
"org.dcache.oncrpc4j.benchmarks.XdrBenchmark.encodeByteBufferShallow_t001","thrpt",1,4,"18125276,493634","3123241,121874","ops/s",1048576,
"org.dcache.oncrpc4j.benchmarks.XdrBenchmark.encodeByteBuffer_t001","thrpt",1,4,"40406546,827338","1260506,159543","ops/s",1024,
"org.dcache.oncrpc4j.benchmarks.XdrBenchmark.encodeByteBuffer_t001","thrpt",1,4,"5597655,970700","698253,310441","ops/s",8192,
"org.dcache.oncrpc4j.benchmarks.XdrBenchmark.encodeByteBuffer_t001","thrpt",1,4,"201223,395465","55426,303727","ops/s",262144,
"org.dcache.oncrpc4j.benchmarks.XdrBenchmark.encodeByteBuffer_t001","thrpt",1,4,"49485,912937","23145,827476","ops/s",1048576,
