"Benchmark","Mode","Threads","Samples","Score","Score Error (99,9%)","Unit"
"com.andrae.benchmarks.BenchmarkUltraShort.testThroughput_t1","thrpt",1,2,"610820,775160",NaN,"ops/s"
"com.andrae.benchmarks.BenchmarkUltraShort.testThroughput_t128","thrpt",128,2,"1094922,246330",NaN,"ops/s"
"com.andrae.benchmarks.BenchmarkUltraShort.testThroughput_t16","thrpt",16,2,"1040079,804388",NaN,"ops/s"
"com.andrae.benchmarks.BenchmarkUltraShort.testThroughput_t2","thrpt",2,2,"905956,235616",NaN,"ops/s"
"com.andrae.benchmarks.BenchmarkUltraShort.testThroughput_t32","thrpt",32,2,"1125329,116845",NaN,"ops/s"
"com.andrae.benchmarks.BenchmarkUltraShort.testThroughput_t4","thrpt",4,2,"1184732,565730",NaN,"ops/s"
"com.andrae.benchmarks.BenchmarkUltraShort.testThroughput_t64","thrpt",64,2,"1063672,082535",NaN,"ops/s"
"com.andrae.benchmarks.BenchmarkUltraShort.testThroughput_t8","thrpt",8,2,"1042213,593794",NaN,"ops/s"
"com.andrae.benchmarks.BenchmarkUltraShort.testSingleShotTime_t1","ss",1,2,"0,000641",NaN,"s/op"
"com.andrae.benchmarks.BenchmarkUltraShort.testSingleShotTime_t128","ss",128,2,"0,000698",NaN,"s/op"
"com.andrae.benchmarks.BenchmarkUltraShort.testSingleShotTime_t16","ss",16,2,"0,001466",NaN,"s/op"
"com.andrae.benchmarks.BenchmarkUltraShort.testSingleShotTime_t2","ss",2,2,"0,000711",NaN,"s/op"
"com.andrae.benchmarks.BenchmarkUltraShort.testSingleShotTime_t32","ss",32,2,"0,001829",NaN,"s/op"
"com.andrae.benchmarks.BenchmarkUltraShort.testSingleShotTime_t4","ss",4,2,"0,000704",NaN,"s/op"
"com.andrae.benchmarks.BenchmarkUltraShort.testSingleShotTime_t64","ss",64,2,"0,001300",NaN,"s/op"
"com.andrae.benchmarks.BenchmarkUltraShort.testSingleShotTime_t8","ss",8,2,"0,001003",NaN,"s/op"
