"Benchmark","Mode","Threads","Samples","Score","Score Error (99,9%)","Unit"
"com.andrae.benchmarks.BenchmarkShort.testThroughput_t1","thrpt",1,6,"545418,463552","85764,503516","ops/s"
"com.andrae.benchmarks.BenchmarkShort.testThroughput_t128","thrpt",128,6,"1070652,828519","143867,323540","ops/s"
"com.andrae.benchmarks.BenchmarkShort.testThroughput_t16","thrpt",16,6,"1037450,968162","204784,036691","ops/s"
"com.andrae.benchmarks.BenchmarkShort.testThroughput_t2","thrpt",2,6,"831427,344359","127632,815740","ops/s"
"com.andrae.benchmarks.BenchmarkShort.testThroughput_t32","thrpt",32,6,"1003542,516101","186853,743075","ops/s"
"com.andrae.benchmarks.BenchmarkShort.testThroughput_t4","thrpt",4,6,"1048126,149475","250476,122561","ops/s"
"com.andrae.benchmarks.BenchmarkShort.testThroughput_t64","thrpt",64,6,"1062075,262794","210259,737688","ops/s"
"com.andrae.benchmarks.BenchmarkShort.testThroughput_t8","thrpt",8,6,"1017927,402251","201739,686053","ops/s"
"com.andrae.benchmarks.BenchmarkShort.testSingleShotTime_t1","ss",1,6,"0,000458","0,001739","s/op"
"com.andrae.benchmarks.BenchmarkShort.testSingleShotTime_t128","ss",128,6,"0,001076","0,004691","s/op"
"com.andrae.benchmarks.BenchmarkShort.testSingleShotTime_t16","ss",16,6,"0,000928","0,003801","s/op"
"com.andrae.benchmarks.BenchmarkShort.testSingleShotTime_t2","ss",2,6,"0,000575","0,002042","s/op"
"com.andrae.benchmarks.BenchmarkShort.testSingleShotTime_t32","ss",32,6,"0,001246","0,005187","s/op"
"com.andrae.benchmarks.BenchmarkShort.testSingleShotTime_t4","ss",4,6,"0,000554","0,001927","s/op"
"com.andrae.benchmarks.BenchmarkShort.testSingleShotTime_t64","ss",64,6,"0,001535","0,006482","s/op"
"com.andrae.benchmarks.BenchmarkShort.testSingleShotTime_t8","ss",8,6,"0,000805","0,003320","s/op"
